onset	duration	event_type	trial_count	old_wealth	new_wealth	gFactIncr
554.136	0.360000000000014	Response_window_onset	58	3033	n/a	n/a
554.496	3.35799999999995	Response	58	n/a	n/a	n/a
557.854	1.98700000000008	Stimulus_onset	58	n/a	n/a	-214
559.841	1.5	New_wealth_onset	58	n/a	2819	n/a
561.341	1.91099999999994	ITI_onset	58	n/a	n/a	n/a
563.252	0.498000000000047	Response_window_onset	59	2819	n/a	n/a
563.75	3.09100000000001	Response	59	n/a	n/a	n/a
566.841	1.803	Stimulus_onset	59	n/a	n/a	0
568.644	1.5	New_wealth_onset	59	n/a	2819	n/a
570.144	3.98299999999995	ITI_onset	59	n/a	n/a	n/a
574.127	0.51400000000001	Response_window_onset	60	2819	n/a	n/a
574.641	3.05700000000002	Response	60	n/a	n/a	n/a
577.698	1.202	Stimulus_onset	60	n/a	n/a	-321
578.9	1.5	New_wealth_onset	60	n/a	2498	n/a
580.4	2.99299999999994	ITI_onset	60	n/a	n/a	n/a
583.393	0.485000000000014	Response_window_onset	61	2498	n/a	n/a
583.878	3.10700000000008	Response	61	n/a	n/a	n/a
586.985	2.02099999999996	Stimulus_onset	61	n/a	n/a	107
589.006	1.5	New_wealth_onset	61	n/a	2605	n/a
590.506	2.84699999999998	ITI_onset	61	n/a	n/a	n/a
593.353	0.430000000000064	Response_window_onset	62	2605	n/a	n/a
593.783	3.22399999999993	Response	62	n/a	n/a	n/a
597.007	3.15700000000004	Stimulus_onset	62	n/a	n/a	214
600.164	1.5	New_wealth_onset	62	n/a	2819	n/a
601.664	2.274	ITI_onset	62	n/a	n/a	n/a
603.938	0.367999999999938	Response_window_onset	63	2819	n/a	n/a
604.306	3.34199999999998	Response	63	n/a	n/a	n/a
607.648	2.53800000000001	Stimulus_onset	63	n/a	n/a	-321
610.186	1.5	New_wealth_onset	63	n/a	2498	n/a
611.686	1.99300000000005	ITI_onset	63	n/a	n/a	n/a
613.679	0.348999999999933	Response_window_onset	64	2498	n/a	n/a
614.028	3.39100000000008	Response	64	n/a	n/a	n/a
617.419	2.20499999999993	Stimulus_onset	64	n/a	n/a	428
619.624	1.5	New_wealth_onset	64	n/a	2926	n/a
621.124	3.19400000000007	ITI_onset	64	n/a	n/a	n/a
624.318	0.400999999999954	Response_window_onset	65	2926	n/a	n/a
624.719	3.274	Response	65	n/a	n/a	n/a
627.993	1.202	Stimulus_onset	65	n/a	n/a	214
629.195	1.5	New_wealth_onset	65	n/a	3140	n/a
630.695	1.94200000000001	ITI_onset	65	n/a	n/a	n/a
632.637	0.383000000000038	Response_window_onset	66	3140	n/a	n/a
633.02	3.30799999999999	Response	66	n/a	n/a	n/a
636.328	2.62199999999996	Stimulus_onset	66	n/a	n/a	107
638.95	1.5	New_wealth_onset	66	n/a	3247	n/a
640.45	3.94000000000005	ITI_onset	66	n/a	n/a	n/a
644.39	0.372999999999934	Response_window_onset	67	3247	n/a	n/a
644.763	3.34100000000001	Response	67	n/a	n/a	n/a
648.104	0.970000000000027	Stimulus_onset	67	n/a	n/a	214
649.074	1.5	New_wealth_onset	67	n/a	3461	n/a
650.574	0.774000000000001	ITI_onset	67	n/a	n/a	n/a
651.348	0.730999999999995	Response_window_onset	68	3461	n/a	n/a
652.079	2.62300000000005	Response	68	n/a	n/a	n/a
654.702	3.13999999999999	Stimulus_onset	68	n/a	n/a	-214
657.842	1.5	New_wealth_onset	68	n/a	3247	n/a
659.342	1.13900000000001	ITI_onset	68	n/a	n/a	n/a
660.481	0.467999999999961	Response_window_onset	69	3247	n/a	n/a
660.949	3.14099999999996	Response	69	n/a	n/a	n/a
664.09	2.13700000000006	Stimulus_onset	69	n/a	n/a	-428
666.227	1.5	New_wealth_onset	69	n/a	2819	n/a
667.727	0.712999999999965	ITI_onset	69	n/a	n/a	n/a
668.44	0.576999999999998	Response_window_onset	70	2819	n/a	n/a
669.017	2.923	Response	70	n/a	n/a	n/a
671.94	1.18600000000004	Stimulus_onset	70	n/a	n/a	-107
673.126	1.5	New_wealth_onset	70	n/a	2712	n/a
674.626	2.87099999999998	ITI_onset	70	n/a	n/a	n/a
677.497	0.405999999999949	Response_window_onset	71	2712	n/a	n/a
677.903	3.25800000000004	Response	71	n/a	n/a	n/a
681.161	2.255	Stimulus_onset	71	n/a	n/a	107
683.416	1.5	New_wealth_onset	71	n/a	2819	n/a
684.916	2.21199999999999	ITI_onset	71	n/a	n/a	n/a
687.128	0.43100000000004	Response_window_onset	72	2819	n/a	n/a
687.559	3.22299999999996	Response	72	n/a	n/a	n/a
690.782	1.82000000000005	Stimulus_onset	72	n/a	n/a	107
692.602	1.5	New_wealth_onset	72	n/a	2926	n/a
694.102	0.816000000000031	ITI_onset	72	n/a	n/a	n/a
694.918	0.524999999999977	Response_window_onset	73	2926	n/a	n/a
695.443	3.03999999999996	Response	73	n/a	n/a	n/a
698.483	2.97199999999998	Stimulus_onset	73	n/a	n/a	321
701.455	1.5	New_wealth_onset	73	n/a	3247	n/a
702.955	1.38900000000001	ITI_onset	73	n/a	n/a	n/a
704.344	0.436000000000035	Response_window_onset	74	3247	n/a	n/a
704.78	3.20699999999999	Response	74	n/a	n/a	n/a
707.987	1.53599999999994	Stimulus_onset	74	n/a	n/a	107
709.523	1.5	New_wealth_onset	74	n/a	3354	n/a
711.023	2.79500000000007	ITI_onset	74	n/a	n/a	n/a
713.818	0.33299999999997	Response_window_onset	75	3354	n/a	n/a
714.151	3.42399999999998	Response	75	n/a	n/a	n/a
717.575	2.83900000000006	Stimulus_onset	75	n/a	n/a	321
720.414	1.5	New_wealth_onset	75	n/a	3675	n/a
721.914	1.66999999999996	ITI_onset	75	n/a	n/a	n/a
723.584	0.355000000000018	Response_window_onset	76	3675	n/a	n/a
723.939	3.37400000000002	Response	76	n/a	n/a	n/a
727.313	1.35299999999995	Stimulus_onset	76	n/a	n/a	214
728.666	1.5	New_wealth_onset	76	n/a	3889	n/a
730.166	0.545000000000073	ITI_onset	76	n/a	n/a	n/a
730.711	0.710999999999899	Response_window_onset	77	3889	n/a	n/a
731.422	2.65700000000004	Response	77	n/a	n/a	n/a
734.079	3.07299999999998	Stimulus_onset	77	n/a	n/a	-107
737.152	1.5	New_wealth_onset	77	n/a	3782	n/a
738.652	0.763000000000034	ITI_onset	77	n/a	n/a	n/a
739.415	0.775999999999954	Response_window_onset	78	3782	n/a	n/a
740.191	2.52300000000002	Response	78	n/a	n/a	n/a
742.714	2.30500000000006	Stimulus_onset	78	n/a	n/a	214
745.019	1.5	New_wealth_onset	78	n/a	3996	n/a
746.519	3.23299999999995	ITI_onset	78	n/a	n/a	n/a
749.752	0.629000000000019	Response_window_onset	79	3996	n/a	n/a
750.381	2.82299999999998	Response	79	n/a	n/a	n/a
753.204	1.13499999999999	Stimulus_onset	79	n/a	n/a	-321
754.339	1.5	New_wealth_onset	79	n/a	3675	n/a
755.839	0.912000000000035	ITI_onset	79	n/a	n/a	n/a
756.751	0.611999999999966	Response_window_onset	80	3675	n/a	n/a
757.363	2.85699999999997	Response	80	n/a	n/a	n/a
760.22	1.13499999999999	Stimulus_onset	80	n/a	n/a	214
761.355	1.5	New_wealth_onset	80	n/a	3889	n/a
762.855	3.25300000000004	ITI_onset	80	n/a	n/a	n/a
766.108	0.426000000000045	Response_window_onset	81	3889	n/a	n/a
766.534	3.22399999999993	Response	81	n/a	n/a	n/a
769.758	2.38800000000003	Stimulus_onset	81	n/a	n/a	-428
772.146	1.5	New_wealth_onset	81	n/a	3461	n/a
773.646	0.876999999999953	ITI_onset	81	n/a	n/a	n/a
774.523	0.446000000000026	Response_window_onset	82	3461	n/a	n/a
774.969	3.12400000000002	Response	82	n/a	n/a	n/a
778.093	0.850999999999999	Stimulus_onset	82	n/a	n/a	0
778.944	1.5	New_wealth_onset	82	n/a	3461	n/a
780.444	2.23599999999999	ITI_onset	82	n/a	n/a	n/a
782.68	0.524000000000001	Response_window_onset	83	3461	n/a	n/a
783.204	3.024	Response	83	n/a	n/a	n/a
786.228	2.12099999999998	Stimulus_onset	83	n/a	n/a	-428
788.349	1.5	New_wealth_onset	83	n/a	3033	n/a
789.849	3.77499999999998	ITI_onset	83	n/a	n/a	n/a
793.624	0.353000000000065	Response_window_onset	84	3033	n/a	n/a
793.977	3.37599999999998	Response	84	n/a	n/a	n/a
797.353	1.95299999999997	Stimulus_onset	84	n/a	n/a	321
799.306	1.5	New_wealth_onset	84	n/a	3354	n/a
800.806	3.63	ITI_onset	84	n/a	n/a	n/a
804.436	0.349000000000046	Response_window_onset	85	3354	n/a	n/a
804.785	3.375	Response	85	n/a	n/a	n/a
808.16	1.66899999999998	Stimulus_onset	85	n/a	n/a	321
809.829	1.5	New_wealth_onset	85	n/a	3675	n/a
811.329	3.11000000000001	ITI_onset	85	n/a	n/a	n/a
814.439	0.335000000000036	Response_window_onset	86	3675	n/a	n/a
814.774	3.40800000000002	Response	86	n/a	n/a	n/a
818.182	2.23799999999994	Stimulus_onset	86	n/a	n/a	214
820.42	1.5	New_wealth_onset	86	n/a	3889	n/a
821.92	2.71299999999997	ITI_onset	86	n/a	n/a	n/a
824.633	0.379999999999995	Response_window_onset	87	3889	n/a	n/a
825.013	3.32500000000005	Response	87	n/a	n/a	n/a
828.338	1.00199999999995	Stimulus_onset	87	n/a	n/a	-107
829.34	1.5	New_wealth_onset	87	n/a	3782	n/a
830.84	1.42100000000005	ITI_onset	87	n/a	n/a	n/a
832.261	0.418999999999983	Response_window_onset	88	3782	n/a	n/a
832.68	3.24199999999996	Response	88	n/a	n/a	n/a
835.922	2.83800000000008	Stimulus_onset	88	n/a	n/a	-428
838.76	1.5	New_wealth_onset	88	n/a	3354	n/a
840.26	1.28800000000001	ITI_onset	88	n/a	n/a	n/a
841.548	0.486999999999966	Response_window_onset	89	3354	n/a	n/a
842.035	3.10699999999997	Response	89	n/a	n/a	n/a
845.142	2.05399999999997	Stimulus_onset	89	n/a	n/a	321
847.196	1.5	New_wealth_onset	89	n/a	3675	n/a
848.696	1.02700000000004	ITI_onset	89	n/a	n/a	n/a
849.723	0.730000000000018	Response_window_onset	90	3675	n/a	n/a
850.453	2.62299999999993	Response	90	n/a	n/a	n/a
853.076	0.885000000000105	Stimulus_onset	90	n/a	n/a	-214
853.961	1.5	New_wealth_onset	90	n/a	3461	n/a
855.461	1.06699999999989	ITI_onset	90	n/a	n/a	n/a
856.528	1.375	Response_window_onset	91	3461	n/a	n/a
857.903	1.3370000000001	Response	91	n/a	n/a	n/a
859.24	2.73899999999992	Stimulus_onset	91	n/a	n/a	-428
861.979	1.5	New_wealth_onset	91	n/a	3033	n/a
863.479	1.52499999999998	ITI_onset	91	n/a	n/a	n/a
865.004	0.399000000000001	Response_window_onset	92	3033	n/a	n/a
865.403	3.27500000000009	Response	92	n/a	n/a	n/a
868.678	1.50200000000007	Stimulus_onset	92	n/a	n/a	214
870.18	1.5	New_wealth_onset	92	n/a	3247	n/a
871.68	3.45299999999997	ITI_onset	92	n/a	n/a	n/a
875.133	0.408999999999878	Response_window_onset	93	3247	n/a	n/a
875.542	3.25800000000004	Response	93	n/a	n/a	n/a
878.8	3.19000000000005	Stimulus_onset	93	n/a	n/a	107
881.99	1.5	New_wealth_onset	93	n/a	3354	n/a
883.49	1.87999999999988	ITI_onset	93	n/a	n/a	n/a
885.37	0.495000000000118	Response_window_onset	94	3354	n/a	n/a
885.865	3.09099999999989	Response	94	n/a	n/a	n/a
888.956	2.62200000000007	Stimulus_onset	94	n/a	n/a	-428
891.578	1.5	New_wealth_onset	94	n/a	2926	n/a
893.078	1.18200000000002	ITI_onset	94	n/a	n/a	n/a
894.26	0.442000000000007	Response_window_onset	95	2926	n/a	n/a
894.702	3.19100000000003	Response	95	n/a	n/a	n/a
897.893	1.75299999999993	Stimulus_onset	95	n/a	n/a	-107
899.646	1.5	New_wealth_onset	95	n/a	2819	n/a
901.146	1.81600000000003	ITI_onset	95	n/a	n/a	n/a
902.962	0.425999999999931	Response_window_onset	96	2819	n/a	n/a
903.388	3.22399999999993	Response	96	n/a	n/a	n/a
906.612	3.30600000000004	Stimulus_onset	96	n/a	n/a	107
909.918	1.5	New_wealth_onset	96	n/a	2926	n/a
911.418	2.20400000000018	ITI_onset	96	n/a	n/a	n/a
913.622	0.371999999999844	Response_window_onset	97	2926	n/a	n/a
913.994	3.32500000000005	Response	97	n/a	n/a	n/a
917.319	2.60500000000002	Stimulus_onset	97	n/a	n/a	-214
919.924	1.5	New_wealth_onset	97	n/a	2712	n/a
921.424	3.327	ITI_onset	97	n/a	n/a	n/a
924.751	0.417999999999893	Response_window_onset	98	2712	n/a	n/a
925.169	3.24099999999999	Response	98	n/a	n/a	n/a
928.41	3.27300000000014	Stimulus_onset	98	n/a	n/a	-107
931.683	1.5	New_wealth_onset	98	n/a	2605	n/a
933.183	1.8599999999999	ITI_onset	98	n/a	n/a	n/a
935.043	0.615999999999985	Response_window_onset	99	2605	n/a	n/a
935.659	2.84000000000015	Response	99	n/a	n/a	n/a
938.499	3.30799999999999	Stimulus_onset	99	n/a	n/a	-214
941.807	1.5	New_wealth_onset	99	n/a	2391	n/a
943.307	1.16099999999983	ITI_onset	99	n/a	n/a	n/a
944.468	0.595000000000027	Response_window_onset	100	2391	n/a	n/a
945.063	2.89100000000008	Response	100	n/a	n/a	n/a
947.954	2.78899999999999	Stimulus_onset	100	n/a	n/a	-107
950.743	1.5	New_wealth_onset	100	n/a	2284	n/a
952.243	4.00400000000013	ITI_onset	100	n/a	n/a	n/a
956.247	0.358999999999924	Response_window_onset	101	2284	n/a	n/a
956.606	3.35799999999995	Response	101	n/a	n/a	n/a
959.964	1.51900000000001	Stimulus_onset	101	n/a	n/a	107
961.483	1.5	New_wealth_onset	101	n/a	2391	n/a
962.983	2.36400000000003	ITI_onset	101	n/a	n/a	n/a
965.347	0.346000000000004	Response_window_onset	102	2391	n/a	n/a
965.693	3.37400000000002	Response	102	n/a	n/a	n/a
969.067	3.12300000000005	Stimulus_onset	102	n/a	n/a	107
972.19	1.5	New_wealth_onset	102	n/a	2498	n/a
973.69	3.80799999999999	ITI_onset	102	n/a	n/a	n/a
977.498	0.38799999999992	Response_window_onset	103	2498	n/a	n/a
977.886	3.30799999999999	Response	103	n/a	n/a	n/a
981.194	1.15200000000004	Stimulus_onset	103	n/a	n/a	-107
982.346	1.5	New_wealth_onset	103	n/a	2391	n/a
983.846	0.983999999999924	ITI_onset	103	n/a	n/a	n/a
984.83	0.773000000000138	Response_window_onset	104	2391	n/a	n/a
985.603	2.54099999999994	Response	104	n/a	n/a	n/a
988.144	2.1869999999999	Stimulus_onset	104	n/a	n/a	-214
990.331	1.5	New_wealth_onset	104	n/a	2177	n/a
991.831	2.01400000000012	ITI_onset	104	n/a	n/a	n/a
993.845	0.510999999999967	Response_window_onset	105	2177	n/a	n/a
994.356	3.05799999999999	Response	105	n/a	n/a	n/a
997.414	1.06799999999998	Stimulus_onset	105	n/a	n/a	428
998.482	1.5	New_wealth_onset	105	n/a	2605	n/a
999.982	1.17200000000003	ITI_onset	105	n/a	n/a	n/a
1001.154	0.534999999999854	Response_window_onset	106	2605	n/a	n/a
1001.689	3.00700000000006	Response	106	n/a	n/a	n/a
1004.696	2.20500000000015	Stimulus_onset	106	n/a	n/a	-214
1006.901	1.5	New_wealth_onset	106	n/a	2391	n/a
1008.401	1.64099999999985	ITI_onset	106	n/a	n/a	n/a
1010.042	0.400000000000091	Response_window_onset	107	2391	n/a	n/a
1010.442	3.27399999999989	Response	107	n/a	n/a	n/a
1013.716	2.28800000000001	Stimulus_onset	107	n/a	n/a	428
1016.004	1.5	New_wealth_onset	107	n/a	2819	n/a
1017.504	3.93100000000004	ITI_onset	107	n/a	n/a	n/a
1021.435	0.466000000000122	Response_window_onset	108	2819	n/a	n/a
1021.901	3.13999999999987	Response	108	n/a	n/a	n/a
1025.041	1.45399999999995	Stimulus_onset	108	n/a	n/a	-428
1026.495	1.5	New_wealth_onset	108	n/a	2391	n/a
1027.995	3.84900000000016	ITI_onset	108	n/a	n/a	n/a
1031.844	0.379999999999882	Response_window_onset	109	2391	n/a	n/a
1032.224	3.32400000000007	Response	109	n/a	n/a	n/a
1035.548	2.85599999999999	Stimulus_onset	109	n/a	n/a	428
1038.404	1.5	New_wealth_onset	109	n/a	2819	n/a
1039.904	0.962999999999965	ITI_onset	109	n/a	n/a	n/a
1040.867	0.460000000000036	Response_window_onset	110	2819	n/a	n/a
1041.327	3.1579999999999	Response	110	n/a	n/a	n/a
1044.485	3.15599999999995	Stimulus_onset	110	n/a	n/a	-214
1047.641	1.5	New_wealth_onset	110	n/a	2605	n/a
1049.141	1.48400000000015	ITI_onset	110	n/a	n/a	n/a
1050.625	0.423999999999978	Response_window_onset	111	2605	n/a	n/a
1051.049	3.22399999999993	Response	111	n/a	n/a	n/a
1054.273	1.06799999999998	Stimulus_onset	111	n/a	n/a	428
1055.341	1.5	New_wealth_onset	111	n/a	3033	n/a
1056.841	1.51400000000012	ITI_onset	111	n/a	n/a	n/a
1058.355	0.377999999999929	Response_window_onset	112	3033	n/a	n/a
1058.733	3.32400000000007	Response	112	n/a	n/a	n/a
1062.057	2.70499999999993	Stimulus_onset	112	n/a	n/a	321
1064.762	1.5	New_wealth_onset	112	n/a	3354	n/a
1066.262	1.09799999999996	ITI_onset	112	n/a	n/a	n/a
1067.36	0.509000000000015	Response_window_onset	113	3354	n/a	n/a
1067.869	3.05799999999999	Response	113	n/a	n/a	n/a
1070.927	3.00600000000009	Stimulus_onset	113	n/a	n/a	0
1073.933	1.5	New_wealth_onset	113	n/a	3354	n/a
1075.433	2.93299999999999	ITI_onset	113	n/a	n/a	n/a
1078.366	0.744999999999891	Response_window_onset	114	3354	n/a	n/a
